# x_m,y_m,w_tr_left_m,w_tr_right_m
4.06005136524964,-0.47867129257133495,0.3,0.3
4.06005136524964,-0.47867129257133495,0.3,0.3
4.06005136524964,-0.47867129257133495,0.3,0.3
4.069627614839374,-0.4757911114700022,0.3,0.3
4.069627614839374,-0.4757911114700022,0.3,0.3
4.0791783648248465,-0.47282746943261506,0.3,0.3
4.0791783648248465,-0.47282746943261506,0.3,0.3
4.0791783648248465,-0.47282746943261506,0.3,0.3
4.088731246131811,-0.4698707046171725,0.3,0.3
4.088731246131811,-0.4698707046171725,0.3,0.3
4.0982538753697915,-0.4668179137855831,0.3,0.3
4.0982538753697915,-0.4668179137855831,0.3,0.3
4.0982538753697915,-0.4668179137855831,0.3,0.3
4.107776740075364,-0.4637658575458883,0.3,0.3
4.107776740075364,-0.4637658575458883,0.3,0.3
4.117267435772495,-0.4606151917909158,0.3,0.3
4.117267435772495,-0.4606151917909158,0.3,0.3
4.117267435772495,-0.4606151917909158,0.3,0.3
4.126705847241864,-0.4573111959566186,0.3,0.3
4.126705847241864,-0.4573111959566186,0.3,0.3
4.136133327634616,-0.45397613778555346,0.3,0.3
4.136133327634616,-0.45397613778555346,0.3,0.3
4.136133327634616,-0.45397613778555346,0.3,0.3
4.145518440174554,-0.4505236514070496,0.3,0.3
4.145518440174554,-0.4505236514070496,0.3,0.3
4.154898106210548,-0.4470563953371629,0.3,0.3
4.154898106210548,-0.4470563953371629,0.3,0.3
4.154898106210548,-0.4470563953371629,0.3,0.3
4.164236702254763,-0.44347999721294395,0.3,0.3
4.164236702254763,-0.44347999721294395,0.3,0.3
4.173571055963627,-0.4398925412235542,0.3,0.3
4.173571055963627,-0.4398925412235542,0.3,0.3
4.173571055963627,-0.4398925412235542,0.3,0.3
4.182863625639871,-0.4361982011651159,0.3,0.3
4.182863625639871,-0.4361982011651159,0.3,0.3
4.192152139266387,-0.43249367497656716,0.3,0.3
4.192152139266387,-0.43249367497656716,0.3,0.3
4.192152139266387,-0.43249367497656716,0.3,0.3
4.201397687625159,-0.42868318482006057,0.3,0.3
4.201397687625159,-0.42868318482006057,0.3,0.3
4.210576295331018,-0.42471415971507054,0.3,0.3
4.210576295331018,-0.42471415971507054,0.3,0.3
4.210576295331018,-0.42471415971507054,0.3,0.3
4.2197378447063825,-0.42070591661378254,0.3,0.3
4.2197378447063825,-0.42070591661378254,0.3,0.3
4.228910090667063,-0.4167222118347447,0.3,0.3
4.228910090667063,-0.4167222118347447,0.3,0.3
4.228910090667063,-0.4167222118347447,0.3,0.3
4.238043310383497,-0.4126498295646288,0.3,0.3
4.238043310383497,-0.4126498295646288,0.3,0.3
4.247175547222603,-0.4085752436875953,0.3,0.3
4.247175547222603,-0.4085752436875953,0.3,0.3
4.247175547222603,-0.4085752436875953,0.3,0.3
4.2562622908064265,-0.40440018790253834,0.3,0.3
4.2562622908064265,-0.40440018790253834,0.3,0.3
4.2653453404222645,-0.40021710178654407,0.3,0.3
4.2653453404222645,-0.40021710178654407,0.3,0.3
4.2653453404222645,-0.40021710178654407,0.3,0.3
4.274380398781124,-0.3959313439492213,0.3,0.3
4.274380398781124,-0.3959313439492213,0.3,0.3
4.283340581974111,-0.3914911731252131,0.3,0.3
4.283340581974111,-0.3914911731252131,0.3,0.3
4.283340581974111,-0.3914911731252131,0.3,0.3
4.292281795820888,-0.3870129262858755,0.3,0.3
4.292281795820888,-0.3870129262858755,0.3,0.3
4.301235013323566,-0.38255872645125594,0.3,0.3
4.301235013323566,-0.38255872645125594,0.3,0.3
4.301235013323566,-0.38255872645125594,0.3,0.3
4.310144679831061,-0.3780180389976957,0.3,0.3
4.310144679831061,-0.3780180389976957,0.3,0.3
4.319053261551753,-0.37347522361957136,0.3,0.3
4.319053261551753,-0.37347522361957136,0.3,0.3
4.319053261551753,-0.37347522361957136,0.3,0.3
4.327911204980577,-0.36883444372243995,0.3,0.3
4.327911204980577,-0.36883444372243995,0.3,0.3
4.3366889030211695,-0.36404361738896057,0.3,0.3
4.3366889030211695,-0.36404361738896057,0.3,0.3
4.3366889030211695,-0.36404361738896057,0.3,0.3
4.345367458588005,-0.35907545141650205,0.3,0.3
4.345367458588005,-0.35907545141650205,0.3,0.3
4.354014724278476,-0.35405302212961515,0.3,0.3
4.354014724278476,-0.35405302212961515,0.3,0.3
4.354014724278476,-0.35405302212961515,0.3,0.3
4.362627449961197,-0.34897158963630653,0.3,0.3
4.362627449961197,-0.34897158963630653,0.3,0.3
4.371161044730057,-0.3437583602919418,0.3,0.3
4.371161044730057,-0.3437583602919418,0.3,0.3
4.371161044730057,-0.3437583602919418,0.3,0.3
4.379674086933058,-0.33851163633008996,0.3,0.3
4.379674086933058,-0.33851163633008996,0.3,0.3
4.38815694447472,-0.33321624892070933,0.3,0.3
4.38815694447472,-0.33321624892070933,0.3,0.3
4.38815694447472,-0.33321624892070933,0.3,0.3
4.396560256407791,-0.3277955157186031,0.3,0.3
4.396560256407791,-0.3277955157186031,0.3,0.3
4.404943566845161,-0.3223439007277325,0.3,0.3
4.404943566845161,-0.3223439007277325,0.3,0.3
4.404943566845161,-0.3223439007277325,0.3,0.3
4.41334025585907,-0.31691291430659707,0.3,0.3
4.41334025585907,-0.31691291430659707,0.3,0.3
4.421680577432869,-0.31139575598431773,0.3,0.3
4.421680577432869,-0.31139575598431773,0.3,0.3
4.421680577432869,-0.31139575598431773,0.3,0.3
4.4300151852534775,-0.3058699698512396,0.3,0.3
4.4300151852534775,-0.3058699698512396,0.3,0.3
