#x_m,y_m,w_tr_left_m,w_tr_right_m
9.26753069169368,3.302677402985979,1.349448323249817,1.4586639404296875
9.267567108027123,3.307677270369282,1.349448323249817,1.4586639404296875
9.267603524360565,3.3126771377525857,1.362942099571228,1.4541374444961548
9.267603524360565,3.3126771377525857,1.348564863204956,1.4498289823532104
9.267637517152718,3.317677022200255,1.348564863204956,1.4498289823532104
9.267637517152718,3.317677022200255,1.3487553596496582,1.4498590230941772
9.26767150994487,3.3226769066479247,1.34440279006958,1.4534053802490234
9.267703079187747,3.3276768069852185,1.34440279006958,1.4534053802490234
9.267703079187747,3.3276768069852185,1.3434332609176636,1.4331451654434204
9.267734648430624,3.3326767073225128,1.3434332609176636,1.4331451654434204
9.267734648430624,3.3326767073225128,1.3449331521987915,1.4696166515350342
9.267763794116807,3.337676622374686,1.3449331521987915,1.4696166515350342
9.26779293980299,3.3426765374268594,1.3124550580978394,1.4589921236038208
9.26779293980299,3.3426765374268594,1.314689040184021,1.445202112197876
9.26781966192563,3.347676466019163,1.314689040184021,1.445202112197876
9.26781966192563,3.347676466019163,1.3097691535949707,1.4492104053497314
9.267846384048271,3.352676394611467,1.3097691535949707,1.4492104053497314
9.267846384048271,3.352676394611467,1.3115137815475464,1.463416576385498
9.26787068260109,3.357676335569149,1.3115137815475464,1.463416576385498
9.26787068260109,3.357676335569149,1.2904117107391357,1.4460391998291016
9.26789498115391,3.362676276526831,1.2904117107391357,1.4460391998291016
9.26789498115391,3.362676276526831,1.2923636436462402,1.4371155500411987
9.267916856131201,3.367676228675137,1.2923636436462402,1.4371155500411987
9.267916856131201,3.367676228675137,1.2894902229309082,1.457594871520996
9.267938731108492,3.3726761808234427,1.2894902229309082,1.457594871520996
9.267938731108492,3.3726761808234427,1.2976343631744385,1.4451805353164673
9.267963029661312,3.3776761217811253,1.2976343631744385,1.4451805353164673
9.267963029661312,3.3776761217811253,1.308616280555725,1.4613192081451416
9.267987328214131,3.382676062738808,1.308616280555725,1.4613192081451416
9.267987328214131,3.382676062738808,1.295434832572937,1.459037184715271
9.268014050336772,3.3876759913311125,1.2744067907333374,1.467876672744751
9.268040772459413,3.392675919923417,1.2744067907333374,1.467876672744751
9.268040772459413,3.392675919923417,1.309982180595398,1.4568425416946411
9.268069918145596,3.397675834975592,1.309982180595398,1.4568425416946411
9.268069918145596,3.397675834975592,1.2929288148880005,1.471343994140625
9.268099063831778,3.4026757500277665,1.2929288148880005,1.471343994140625
9.268099063831778,3.4026757500277665,1.2817802429199219,1.4496400356292725
9.268130633074655,3.407675650365062,1.2926329374313354,1.4439014196395874
9.268162202317532,3.4126755507023576,1.2926329374313354,1.4439014196395874
9.268162202317532,3.4126755507023576,1.3064639568328857,1.448806881904602
9.268191348003715,3.4176754657545323,1.3064639568328857,1.448806881904602
9.268191348003715,3.4176754657545323,1.2925677299499512,1.4543201923370361
9.268220493689897,3.422675380806707,1.2925677299499512,1.4543201923370361
9.268220493689897,3.422675380806707,1.301056981086731,1.4368423223495483
9.268247215812538,3.427675309399012,1.298644781112671,1.4570605754852295
9.268273937935179,3.432675237991317,1.298644781112671,1.4570605754852295
9.268273937935179,3.432675237991317,1.3042410612106323,1.4364932775497437
9.268298236487999,3.4376751789490005,1.3042410612106323,1.4364932775497437
9.268298236487999,3.4376751789490005,1.3038724660873413,1.4441969394683838
9.268322535040818,3.442675119906684,1.3038724660873413,1.4441969394683838
9.268322535040818,3.442675119906684,1.291654348373413,1.4476494789123535
9.26834441001811,3.447675072054991,1.291654348373413,1.4476494789123535
9.26834441001811,3.447675072054991,1.2901726961135864,1.4584712982177734
9.2683662849954,3.452675024203298,1.2901726961135864,1.4584712982177734
9.2683662849954,3.452675024203298,1.3031545877456665,1.4493235349655151
9.268385736392021,3.457674986367471,1.3031545877456665,1.4493235349655151
9.268385736392021,3.457674986367471,1.2889111042022705,1.4542323350906372
9.268405187788643,3.462674948531644,1.2889111042022705,1.4542323350906372
9.268422215600026,3.467674919536923,1.2974441051483154,1.437733769416809
9.268422215600026,3.467674919536923,1.2974441051483154,1.437733769416809
9.268422215600026,3.467674919536923,1.3083224296569824,1.4414137601852417
9.26843924341141,3.4726748905422022,1.3083224296569824,1.4414137601852417
9.26843924341141,3.4726748905422022,1.2787084579467773,1.450829029083252
9.268453847633552,3.4776748692138257,1.2787084579467773,1.450829029083252
9.268453847633552,3.4776748692138257,1.2932010889053345,1.4603937864303589
9.268468451855695,3.4826748478854492,1.2932010889053345,1.4603937864303589
9.268480632485167,3.487674833048653,1.3185949325561523,1.419464349746704
9.268480632485167,3.487674833048653,1.3185949325561523,1.419464349746704
9.268480632485167,3.487674833048653,1.3200122117996216,1.4460686445236206
9.268492813114639,3.492674818211857,1.3200122117996216,1.4460686445236206
9.268502570148577,3.497674808691876,1.2865118980407715,1.454437494277954
9.268502570148577,3.497674808691876,1.2865118980407715,1.454437494277954
9.268502570148577,3.497674808691876,1.2865118980407715,1.454437494277954
9.268502570148577,3.497674808691876,1.297613501548767,1.460440993309021
9.268512327182515,3.502674799171895,1.312814712524414,1.4296562671661377
9.268519660618628,3.507674793793963,1.312814712524414,1.4296562671661377
9.268519660618628,3.507674793793963,1.305456519126892,1.4516708850860596
