#x_m,y_m,w_tr_left_m,w_tr_right_m
9.26753069169368,3.302677402985979,0.3,0.3
9.267567108027123,3.307677270369282,0.3,0.3
9.267603524360565,3.3126771377525857,0.3,0.3
9.267603524360565,3.3126771377525857,0.3,0.3
9.267637517152718,3.317677022200255,0.3,0.3
9.267637517152718,3.317677022200255,0.3,0.3
9.26767150994487,3.3226769066479247,0.3,0.3
9.267703079187747,3.3276768069852185,0.3,0.3
9.267703079187747,3.3276768069852185,0.3,0.3
9.267734648430624,3.3326767073225128,0.3,0.3
9.267734648430624,3.3326767073225128,0.3,0.3
9.267763794116807,3.337676622374686,0.3,0.3
9.26779293980299,3.3426765374268594,0.3,0.3
9.26779293980299,3.3426765374268594,0.3,0.3
9.26781966192563,3.347676466019163,0.3,0.3
9.26781966192563,3.347676466019163,0.3,0.3
9.267846384048271,3.352676394611467,0.3,0.3
9.267846384048271,3.352676394611467,0.3,0.3
9.26787068260109,3.357676335569149,0.3,0.3
9.26787068260109,3.357676335569149,0.3,0.3
9.26789498115391,3.362676276526831,0.3,0.3
9.26789498115391,3.362676276526831,0.3,0.3
9.267916856131201,3.367676228675137,0.3,0.3
9.267916856131201,3.367676228675137,0.3,0.3
9.267938731108492,3.3726761808234427,0.3,0.3
9.267938731108492,3.3726761808234427,0.3,0.3
9.267963029661312,3.3776761217811253,0.3,0.3
9.267963029661312,3.3776761217811253,0.3,0.3
9.267987328214131,3.382676062738808,0.3,0.3
9.267987328214131,3.382676062738808,0.3,0.3
9.268014050336772,3.3876759913311125,0.3,0.3
9.268040772459413,3.392675919923417,0.3,0.3
9.268040772459413,3.392675919923417,0.3,0.3
9.268069918145596,3.397675834975592,0.3,0.3
9.268069918145596,3.397675834975592,0.3,0.3
9.268099063831778,3.4026757500277665,0.3,0.3
9.268099063831778,3.4026757500277665,0.3,0.3
9.268130633074655,3.407675650365062,0.3,0.3
9.268162202317532,3.4126755507023576,0.3,0.3
9.268162202317532,3.4126755507023576,0.3,0.3
9.268191348003715,3.4176754657545323,0.3,0.3
9.268191348003715,3.4176754657545323,0.3,0.3
9.268220493689897,3.422675380806707,0.3,0.3
9.268220493689897,3.422675380806707,0.3,0.3
9.268247215812538,3.427675309399012,0.3,0.3
9.268273937935179,3.432675237991317,0.3,0.3
9.268273937935179,3.432675237991317,0.3,0.3
9.268298236487999,3.4376751789490005,0.3,0.3
9.268298236487999,3.4376751789490005,0.3,0.3
9.268322535040818,3.442675119906684,0.3,0.3
9.268322535040818,3.442675119906684,0.3,0.3
9.26834441001811,3.447675072054991,0.3,0.3
9.26834441001811,3.447675072054991,0.3,0.3
9.2683662849954,3.452675024203298,0.3,0.3
9.2683662849954,3.452675024203298,0.3,0.3
9.268385736392021,3.457674986367471,0.3,0.3
9.268385736392021,3.457674986367471,0.3,0.3
9.268405187788643,3.462674948531644,0.3,0.3
9.268422215600026,3.467674919536923,0.3,0.3
9.268422215600026,3.467674919536923,0.3,0.3
9.268422215600026,3.467674919536923,0.3,0.3
9.26843924341141,3.4726748905422022,0.3,0.3
9.26843924341141,3.4726748905422022,0.3,0.3
9.268453847633552,3.4776748692138257,0.3,0.3
9.268453847633552,3.4776748692138257,0.3,0.3
9.268468451855695,3.4826748478854492,0.3,0.3
9.268480632485167,3.487674833048653,0.3,0.3
9.268480632485167,3.487674833048653,0.3,0.3
9.268480632485167,3.487674833048653,0.3,0.3
9.268492813114639,3.492674818211857,0.3,0.3
9.268502570148577,3.497674808691876,0.3,0.3
9.268502570148577,3.497674808691876,0.3,0.3
9.268502570148577,3.497674808691876,0.3,0.3
9.268502570148577,3.497674808691876,0.3,0.3
9.268512327182515,3.502674799171895,0.3,0.3
9.268519660618628,3.507674793793963,0.3,0.3
9.268519660618628,3.507674793793963,0.3,0.3
9.26852699405474,3.512674788416031,0.3,0.3
9.26852699405474,3.512674788416031,0.3,0.3
9.268531903891304,3.5176747860053807,0.3,0.3
9.268536813727868,3.5226747835947303,0.3,0.3
9.268536813727868,3.5226747835947303,0.3,0.3
9.268544147163981,3.5276747782167983,0.3,0.3
9.268544147163981,3.5276747782167983,0.3,0.3
9.268551480600093,3.5326747728388663,0.3,0.3
9.268556390436657,3.537674770428216,0.3,0.3
9.268556390436657,3.537674770428216,0.3,0.3
9.268561300273221,3.5426747680175654,0.3,0.3
9.268561300273221,3.5426747680175654,0.3,0.3
9.268568633709334,3.5476747626396334,0.3,0.3
9.268568633709334,3.5476747626396334,0.3,0.3
9.268575967145447,3.5526747572617015,0.3,0.3
9.268575967145447,3.5526747572617015,0.3,0.3
9.26858087698201,3.557674754851051,0.3,0.3
9.26858087698201,3.557674754851051,0.3,0.3
9.268585786818575,3.5626747524404005,0.3,0.3
9.268593120254687,3.567674747062469,0.3,0.3
9.268593120254687,3.567674747062469,0.3,0.3
9.2686004536908,3.5726747416845375,0.3,0.3
9.2686004536908,3.5726747416845375,0.3,0.3
9.2686004536908,3.5726747416845375,0.3,0.3
9.268605363527364,3.577674739273887,0.3,0.3
9.268610273363928,3.5826747368632366,0.3,0.3
9.268610273363928,3.5826747368632366,0.3,0.3
9.268610273363928,3.5826747368632366,0.3,0.3
9.26861275959979,3.5876747362450994,0.3,0.3
9.268615245835653,3.592674735626962,0.3,0.3
9.268615245835653,3.592674735626962,0.3,0.3
9.268615245835653,3.592674735626962,0.3,0.3
9.26861530847023,3.5976747356265695,0.3,0.3
9.26861530847023,3.5976747356265695,0.3,0.3
9.268615371104806,3.602674735626177,0.3,0.3
9.26861301013808,3.6076747350687604,0.3,0.3
9.26861301013808,3.6076747350687604,0.3,0.3
9.268610649171356,3.612674734511344,0.3,0.3
9.268605864603884,3.6176747322221345,0.3,0.3
9.268605864603884,3.6176747322221345,0.3,0.3
9.268605864603884,3.6176747322221345,0.3,0.3
